Комментарии,Эмоциональная окраска
Уже регестрировалась,Нейтральная
Вам зачем местоположение?,Нейтральная
Видео  нет,Негативная
конченые. ,Негативная
зачем мне это?,Нейтральная
упростить,Негативная
полная лажа,Негативная
"Запрос, на обработку моих персональных данных, в чистом виде шантаж. Выбора, естественно нет.",Негативная
Нихера не показывает ,Негативная
Код быстро удаляют,Негативная
"сделайте нормальный поиск и индексацию. по запросу фамилии хотя бы известных людей я хочу видеть подборку их видео, полную,  и при этом без перепостов и ссылок на левые каналы со старыми видео, выложенными от других лиц.",Негативная
все,Мусор
все упростить,Негативная
Не знаю,Нейтральная
Не загружается,Негативная
Ничего,Нейтральная
Много вопросов,Мусор
 Зачем геолокация?,Нейтральная
"звука нет
",Негативная
видео не открывается плеер не загружается втф оптимизируйте для сафари сайт говно,Негативная
не удобный поиск и иногда не грузит видео как сейчас!!!!!,Негативная
Я ваш ротебал!,Негативная
Быстрее,Негативная
"С сайта не загружаются видио а реклама всегда пожалуйста, ",Негативная
"слишком долго, нудно и непонятно",Негативная
Чтобы сразу отправлялось сообщение на нажимая отправить код,Нейтральная
"Всё!!!
",Мусор
Многое,Мусор
Получение кода СМС,Нейтральная
не требовать ее,Негативная
Всплывающее окно мешает регистрации,Негативная
Простоту регистрации,Нейтральная
все,Мусор
ниче не грузит че за фигня на телефоне грузит а на ноуте нет идите в попу,Негативная
ПУТИН ХУЙЛО,Мусор
всё!!!,Мусор
Логин и пароль это целая история,Негативная
Всё ,Мусор
Все,Мусор
Чтоб хорошо работало,Нейтральная
Очень медленно приходит код на регистрацию через почту,Негативная
Могли бы сделать отправку смс автоматом при входе через вк,Негативная
Качество звука. ,Нейтральная
Не грузится,Негативная
Все,Мусор
скорость,Мусор
не грузятся видео,Негативная
"Очень сложно , невозможно найти ни тест ни задачи. Сложнее придумать невозможно !!!!",Негативная
долго,Негативная
Не  открывается видео ,Негативная
lkz xtuj pyfnm vtcnjgjkj;tybt&,Мусор
Не загружает видео !!,Негативная
"не загружает видео
",Негативная
отменить регистрацию,Негативная
"Без коментариев
",Нейтральная
всегда тормозит фильм нормально  не посмотреть,Негативная
Не грузит ничего,Негативная
руду не работает,Негативная
"Много чего, но вы на правильном пути)",Нейтральная
сотрудничество с мэйл.ру,Нейтральная
".не загружается видео, нет возмоможности просмотреть запись передачи",Негативная
Смс долго неприходила,Негативная
не загружаются видео ,Негативная
не грузит видео ,Негативная
Не открывается ваш канал,Негативная
Не надо запрашивать разрешения о местоположении устройства.,Негативная
Почему я не вижу видео даже после регистрации ,Нейтральная
...,Мусор
"звук отвратительный как и качество роликов
",Негативная
Не грузит не чего,Негативная
"Код подтверждения дольше
",Негативная
